Citra,energy_0,homogenity_0,entrophy_0,contrast_0,energy_45,homogenity_45,entrophy_45,contrast_45,energy_90,homogenity_90,entrophy_90,contrast_90,energy_135,homogenity_135,entrophy_135,contrast_135,Label
80.png,0.004745406370349652,3.485973840179842,5.87323467273471,2.4859738401798483,0.003285229443637893,8.439915186419999,6.304923710553335,7.439915186420042,0.003954885170066416,5.775025546699333,6.099208421815093,4.775025546699391,0.003185784787330087,7.378906305963361,6.285741502446431,6.378906305963365,0
81.png,0.0013936112931176477,19.16510933987349,7.135270959633319,18.165109339873172,0.0009388437674974758,38.8571943160161,7.51362750609065,37.857194316016724,0.0013684442741957686,18.851780094011964,7.130319131781893,17.851780094011712,0.0010976926035328107,31.315906025571266,7.375517834796529,30.315906025571067,0
82.png,0.0018807788409131063,17.72909053750259,6.888724302446536,16.72909053750245,0.001428698420903966,21.9158740976791,7.119119190931818,20.91587409767895,0.0020832628217282044,11.019507459636184,6.748709874794548,10.019507459636209,0.0014644823942765043,30.580774496982333,7.144534789654068,29.580774496982396,0
83.png,0.0019815120296186894,12.463652156141283,6.716767090081649,11.463652156141418,0.001529898168130967,17.372000875970482,6.94840062321858,16.372000875970514,0.0021019739177023655,8.379820151236421,6.618249078825877,7.379820151236467,0.0014802141906831079,19.7326468836537,7.003995390041187,18.732646883653672,0
84.png,0.0032165776682940837,12.055401594113958,6.615019342026336,11.055401594113992,0.002254156433637712,34.88457862345764,7.01557836892434,33.88457862345775,0.003051466291785527,18.111267116288644,6.672223961372589,17.111267116288687,0.0023755255001680214,21.200857141102954,6.884660910600281,20.200857141102887,0
85.png,0.0018337384069777947,16.04409564684243,6.882358039634114,15.044095646842424,0.0013026954367382796,33.33351343939101,7.257314313765532,32.33351343939147,0.001658693151780421,28.701843449826097,7.050848164194209,27.70184344982629,0.0012405506716988387,49.42212971320146,7.307996767326919,48.42212971320169,0
86.png,0.0016070857344515751,14.864181483752265,7.094693785285735,13.864181483752246,0.001110998449173289,29.739112281800598,7.462472789347338,28.73911228180085,0.0015045512094944715,14.747843858573399,7.136162954541538,13.747843858573514,0.0011613265366883319,24.420226319635077,7.399454448333797,23.420226319635074,0
87.png,0.001309117493264501,21.908383404864086,7.237012225054006,20.908383404864036,0.0010251166914908383,27.989033997065306,7.43777972517711,26.98903399706524,0.0012994732252838944,18.959509503372157,7.225678018194214,17.95950950337206,0.0009059091923134721,45.967928841733645,7.6189359831686065,44.96792884173382,0
88.png,0.0018490565733928386,15.754283670549817,6.908109050045362,14.754283670549704,0.0013909047478015994,23.076133696001584,7.1631452658445784,22.076133696001598,0.001744811356238294,16.735963621500183,6.958387550636971,15.735963621500161,0.0012657580079182536,35.6995073689982,7.306471234653511,34.69950736899854,0
89.png,0.002704169824892503,12.51798692008989,6.615731001957015,11.51798692008994,0.0018758962673653854,26.806232488267586,7.0175820172160295,25.806232488267586,0.0023834264500867427,19.471565501737206,6.807348160657449,18.47156550173717,0.0018637585945778746,31.427195196080316,7.045015942006877,30.427195196080405,0
