Citra,energy_0,homogenity_0,entrophy_0,contrast_0,energy_45,homogenity_45,entrophy_45,contrast_45,energy_90,homogenity_90,entrophy_90,contrast_90,energy_135,homogenity_135,entrophy_135,contrast_135,Label,Warna_R,Warna_G,Warna_B
431.png,0.0037398532457246,3.9727324749642143,6.150199550873937,2.972732474964233,0.0025416151111957,6.480877034635675,6.506676882862945,5.480877034635635,0.0031605073235125,5.295415900265665,6.306271147647794,4.295415900265678,0.0022633611895263,9.477680152107771,6.646093307761523,8.477680152107808,0,0.07514572143554688,0.9213371276855469,0.0
432.png,0.0026733241897765,3.7377375843040848,6.426386992771753,2.737737584304114,0.001850201195868,7.831551716021867,6.769581306522657,6.831551716021898,0.0024645576067681,7.437010014306116,6.528574917539454,6.437010014306089,0.0017640370763736,11.929646071129731,6.865954182907102,10.929646071129756,0,0.028263092041015625,0.9682693481445312,0.0
433.png,0.0029787535186363,5.980564071122018,6.472081074654946,4.980564071122022,0.0020076251872477,12.389743369334123,6.849447728651643,11.389743369334177,0.0026368431480485,7.501827099938679,6.575131342747116,6.5018270999386525,0.0019762141933986,11.7774339389401,6.866252961760877,10.777433938940112,0,0.058742523193359375,0.9350242614746094,0.0
434.png,0.0017698713724469,12.765855303494735,6.944763984429202,11.765855303494758,0.0012063866580371,22.072899973598204,7.299499802156726,21.072899973598243,0.0018064814957523,10.81829552421821,6.876791276110963,9.81829552421827,0.0012358896377622,22.0123618248838,7.278678345796077,21.01236182488385,0,0.028621673583984375,0.9667892456054688,0.0
435.png,0.0026958318729999,6.514469650521126,6.453833973118336,5.51446965052111,0.0017419868760028,10.326311243734692,6.821630052717387,9.326311243734766,0.0025726484307613,6.888600040874708,6.488372896760017,5.888600040874724,0.0018829336229745,13.662182435156751,6.830396819272424,12.66218243515683,0,0.04219818115234375,0.9505767822265625,0.0
436.png,0.0025488971093605,7.35289597384017,6.50125360800586,6.3528959738401145,0.0015892742157693,10.3310144678378,6.879892453310169,9.331014467837887,0.0022161100712827,9.037271612507666,6.638954446522591,8.03727161250763,0.0016491348193741,19.45938301395212,6.966638275374603,18.4593830139523,0,0.043102264404296875,0.9516448974609375,0.0
437.png,0.0026413147299481,7.090374003678705,6.54662251013217,6.0903740036787175,0.0018039200597508,9.34921541298526,6.863990652419609,8.349215412985256,0.0023151595795225,7.800220723482483,6.660500550486118,6.800220723482497,0.0016433978063332,17.546554345979665,7.020076525911959,16.546554345979715,0,0.0491485595703125,0.9415168762207031,0.0
438.png,0.0017083415210165,12.684277539341906,6.962576438248056,11.684277539341862,0.0011735649065211,21.562845757581563,7.327441825169899,20.562845757581524,0.0014607775577827,13.6784181483752,7.125118581133816,12.678418148375282,0.0010320329882195,27.65371131045599,7.458175320533746,26.653711310455915,0,0.00540924072265625,0.9934463500976562,0.0
439.png,0.0024254213769602,10.869415491518438,6.642482453797705,9.869415491518495,0.001696885006818,19.40076463208217,6.972554778511051,18.400764632082485,0.0026357847096057,11.736268138156476,6.558648038818414,10.73626813815654,0.0017782485482498,22.56597100701822,6.960012037599292,21.565971007018064,0,0.01299285888671875,0.9836463928222656,0.0
440.png,0.0018314871627026,12.315307582260262,6.867075349373288,11.315307582260443,0.001380501804098,22.93538695172557,7.156110811053819,21.93538695172569,0.0020128034585544,13.420621295728465,6.77217438788678,12.420621295728608,0.0013034484644024,25.06519839296316,7.184357955456002,24.065198392962817,0,0.00992584228515625,0.9877166748046875,0.0
441.png,0.0028965335661179,13.281146535867466,6.6211401437302575,12.281146535867412,0.0020105639475451,19.30156098739065,6.940075810530012,18.301560987390687,0.0026749364021368,11.680167586347782,6.668530305317219,10.680167586347812,0.0018364497209294,27.570223965976464,7.07293904377176,26.570223965976613,0,0.012847900390625,0.9823532104492188,0.0
442.png,0.0037602634222348,7.201959942775375,6.25661839160709,6.201959942775368,0.0027201622551049,9.571335302220014,6.538698490147988,8.571335302220048,0.0038846146258733,4.523312895973813,6.162533901227116,3.5233128959738327,0.0025696335807683,11.232095308851209,6.599993640628003,10.232095308851234,0,0.3112525939941406,0.6884346008300781,0.0
443.png,0.0027137542071911,6.407929695483338,6.473934643291113,5.4079296954833405,0.0019797185318384,11.32912540088948,6.79242831143096,10.329125400889636,0.002558696923482,8.07043122828521,6.564517901234049,7.070431228285288,0.0017404173580157,14.804421194389706,6.923470880127194,13.804421194389777,0,0.0475616455078125,0.9518814086914062,0.0
444.png,0.0049999721173935,3.3662620069487024,5.858395971900507,2.366262006948707,0.0034899000639306,6.110177834265614,6.221474858970157,5.110177834265614,0.0043224676104609,4.268888207643579,6.006094941601312,3.268888207643576,0.0030774915480745,6.621674945405355,6.317536763148346,5.6216749454053785,0,0.0547332763671875,0.9447517395019531,0.0
445.png,0.0030127213227571,4.92004904966276,6.348621285310402,3.920049049662804,0.0019700263171337,9.97057517278927,6.716856690338764,8.97057517278941,0.0026598722157545,7.111986511342709,6.457547084233423,6.111986511342688,0.0019945055847499,11.35705821314325,6.761157058692014,10.35705821314336,0,0.029018402099609375,0.9684524536132812,0.0
446.png,0.0021320091298568,8.626936439811951,6.749065052057703,7.626936439811893,0.0015501132104567,16.178951741809858,7.068103128555123,15.178951741809923,0.0021882931041477,13.322779480891072,6.756989089226472,12.32277948089103,0.0014684814130513,24.361460578263504,7.128575979168691,23.36146057826341,0,0.024494171142578125,0.9737510681152344,0.0
447.png,0.0025526463582051,10.980196198651017,6.650974917321072,9.980196198651026,0.001771253748918,15.531533910082144,6.968842977197599,14.531533910082189,0.0025893962579292,6.880314735336192,6.560644345394739,5.880314735336135,0.0018570471875068,16.950272308079782,6.909739748600718,15.950272308079796,0,0.07381057739257812,0.9247093200683594,0.0
448.png,0.0033300650996521,8.365426118945386,6.424857655175387,7.365426118945406,0.0021526840258968,23.011320075071623,6.899378284927659,22.011320075071733,0.0030371529914502,14.133447782546432,6.566701351081898,13.133447782546364,0.0022281310467613,18.78990833010993,6.827053029820278,17.789908330110073,0,0.01177978515625,0.9868049621582031,0.0
449.png,0.0031519973456912,6.237755977927645,6.458350684998226,5.237755977927622,0.002251800945042,9.309477467299525,6.73386035810464,8.309477467299555,0.0030271832022365,7.446975270795025,6.493892539148446,6.446975270794988,0.0021101695633014,15.273789861256915,6.870840251277356,14.273789861257102,0,0.08916473388671875,0.9089431762695312,0.0
